对象名称,对象 Api Name,字段名称,字段 Api Name,字段类型,是否必填,选项值
銷售跟進記錄,ActiveRecordObj,关联业务对象,related_api_names,多选,是,客戶;連絡人;X發貨單;請款及開發票;銷售線索;商機連絡人;商機;元心人申請;案場;SPC工單;採購單(採購計劃);銷貨單;SPC工單維修請款單;產品;報價單;退货单;訂單合約;供應商
銷售跟進記錄,ActiveRecordObj,tenant_id,tenant_id,单行文本,是,
銷售跟進記錄,ActiveRecordObj,锁定规则,lock_rule,lock_rule,否,
銷售跟進記錄,ActiveRecordObj,跟進類別,active_record_type,单选,否,親自拜訪;電話連絡;LINE;單純記錄;客户反馈
銷售跟進記錄,ActiveRecordObj,記錄內容,active_record_content,rich_text,是,
銷售跟進記錄,ActiveRecordObj,互动类型,interactive_types,单选,否,打电话;在线会议;在线聊天;邮件;现场拜访;其他
銷售跟進記錄,ActiveRecordObj,数据来源,origin_source,单选,否,数据同步
銷售跟進記錄,ActiveRecordObj,加锁人,lock_user,人员,否,
銷售跟進記錄,ActiveRecordObj,定位,field_aN2iY__c,定位,否,
銷售跟進記錄,ActiveRecordObj,扩展字段在mt_data中的记录ID,extend_obj_data_id,单行文本,否,
銷售跟進記錄,ActiveRecordObj,is_deleted,is_deleted,布尔值,否,
銷售跟進記錄,ActiveRecordObj,作废前生命状态,life_status_before_invalid,单行文本,否,
銷售跟進記錄,ActiveRecordObj,object_describe_api_name,object_describe_api_name,单行文本,是,
銷售跟進記錄,ActiveRecordObj,负责人主属部门,owner_department,单行文本,否,
銷售跟進記錄,ActiveRecordObj,外部负责人,out_owner,人员,否,
銷售跟進記錄,ActiveRecordObj,原始数据来源,source_api_name,单行文本,否,
銷售跟進記錄,ActiveRecordObj,负责人,owner,人员,否,
銷售跟進記錄,ActiveRecordObj,锁定状态,lock_status,单选,否,未锁定;锁定
銷售跟進記錄,ActiveRecordObj,package,package,单行文本,否,
銷售跟進記錄,ActiveRecordObj,最后修改时间,last_modified_time,日期时间,否,
銷售跟進記錄,ActiveRecordObj,创建时间,create_time,日期时间,否,
銷售跟進記錄,ActiveRecordObj,生命状态,life_status,单选,否,未生效;审核中;正常;变更中;作废
銷售跟進記錄,ActiveRecordObj,关联业务数据,related_object_data,what_list_data,是,
銷售跟進記錄,ActiveRecordObj,最后修改人,last_modified_by,人员,否,
銷售跟進記錄,ActiveRecordObj,外部企业,out_tenant_id,单行文本,否,
銷售跟進記錄,ActiveRecordObj,version,version,数字,否,
銷售跟進記錄,ActiveRecordObj,创建人,created_by,人员,否,
銷售跟進記錄,ActiveRecordObj,相关团队,relevant_team,embedded_object_list,否,
銷售跟進記錄,ActiveRecordObj,业务类型,record_type,record_type,否,
銷售跟進記錄,ActiveRecordObj,重要性,field_36Zg0__c,单选,否,重要;普通;其他
銷售跟進記錄,ActiveRecordObj,关联业务模块,related_object,what_list,否,
銷售跟進記錄,ActiveRecordObj,互动语料链接,recording_link,网址,否,
銷售跟進記錄,ActiveRecordObj,归属部门,data_own_department,部门,否,
銷售跟進記錄,ActiveRecordObj,記錄ID,name,自增编号,是,
銷售跟進記錄,ActiveRecordObj,order_by,order_by,数字,否,
銷售跟進記錄,ActiveRecordObj,原始数据ID,source_id,单行文本,否,
銷售跟進記錄,ActiveRecordObj,_id,_id,单行文本,否,
銷售跟進記錄,ActiveRecordObj,外部顯示,external_form_display__c,单选,否,無;顯示;其他
